userName,content,score,at
Trisna Dewi,sangat memudahkan dalam bertransaksi kapan saja dan dimana saja,5,2024-10-13 12:54:27
Pahroji Roji,I like it,4,2024-10-13 12:42:55
Kodok Strava,Mau login aja susah gajelas aplikasi nya,1,2024-10-13 12:28:25
MOZES MURMANA,Good Aplication,5,2024-10-13 12:19:19
Ayi Awalya,"Lama banget respon nya mau masukin OTP di tunggu ga kluar""kode nya",1,2024-10-13 12:17:32
Djoko Sismanto,bermanfaat sangat membantu,5,2024-10-13 12:10:09
sunarto sunarto,"Untuk saat ini aplikasi masih terbaik , pertahankan",5,2024-10-13 12:07:33
dede Nafiz,"Aplikasi ko eror mulu, Sabtu tgl 12-13 Oktober eror Minggu pun error' gk jelas beut",1,2024-10-13 11:40:23
Didik Alviansyh,Daftarnya susah mending daftar ke kantornya lnsung,1,2024-10-13 10:04:23
Ananda Alexander,"Gangguan terus dari pagi sampai sore gakbisa login, orang jadi males pake ini, bisa beralih semua nasabah nantinya",1,2024-10-13 10:01:48
Munawaroh,Bagus,5,2024-10-13 09:44:43
Muhammad Ahsani,"Ga guna, error mulu",1,2024-10-13 09:32:49
Dwi Prasetyo,"aplikasi mudah dan cepat, sangat bermanfaat.",5,2024-10-13 09:08:45
Hendra Bahtiar,QR bayar kameranya sering error,3,2024-10-13 08:54:21
Sheryl Shela,sangat memuaskan,5,2024-10-13 08:52:09
Mba Lilis,sangat puas,5,2024-10-13 06:46:26
Edo Pratama,"Saya bingung sendiri dengan CS BNI ,komplain di suruh kirim bukti via e-mail , giliran buktinya saya kirim ke e-mail sesuai yang di arahin CS malah ada pemberitahuan SMS kalau komplain saya tidak dapat di proses karena bukti belum dikirim , lah terus apa CS memang ngasih e-mail yang salah , ini sudah mau 1 bulan loh uang saya belum ada kejelasan .",1,2024-10-13 06:13:55
Ato Supriyanto,bagus,5,2024-10-13 05:21:20
wazza project,ok,5,2024-10-13 04:38:59
indra kusuma,Apa dah kok sering ngelek gak jelas ta akhir² ini,1,2024-10-13 04:34:38
Rembo Ganteng,Puas,5,2024-10-13 04:28:06
Ari Aprian,"Lama lama gw apus juga banking ini, kartu telkomsel susah mau buka banking. Perbaikan sistem melulu setiap detik, setiap saat",1,2024-10-13 04:16:49
naisal ba'dillah,mantap apk ny,5,2024-10-13 03:59:43
made carlos,detail transaksi lebih oke menggunakan ini daripada wndr,5,2024-10-13 03:43:48
Sabur Holong,Kurang puas saya tidak ada pinjaman apa apa Tiba tiba saldo saya minus 3jt lebih dan uang yang masuk hilang dan pindah ke tabungan aset dan tidak bisa di ambil samapai sekarang pihak bni belum bisa menyelesaikan masalah nya saya di suruh ke cabang sementara saya jauh dari pemukiman jadi gimana apa saya harus trima gitu aja saldo saya hilang dan saya tiba tiba minus sampai 3jt kasih dong solusinya gimana,3,2024-10-13 03:42:21
Darma Iwan,baik,5,2024-10-13 03:21:42
Andi Agung,"sangat membantu,usul ATM setoran diperbanyak lagi.",5,2024-10-13 03:05:21
innaya nurul husna,Sering gangguan.. Saat transfer saldo kepotong namun blm masuk ke rek tujuan ... Sehingga harus k cs Sangat mengganggu,1,2024-10-13 02:43:34
Maharani Agustini,4 dulu,4,2024-10-13 02:40:54
Yt Dewa,"lemot nya MasyaAllah, setiap mau transaksi kendala jaringan terus,",5,2024-10-13 02:35:04
nok icha,Best aplikasi bank,5,2024-10-13 02:32:30
Afif Rafi Falih,Saya beri BINTANG 2 untuk pelayanan kendala aplikasi tidak bisa top up ke astrapay dg memberikan notifikasi yng tidak dapat dimengerti.,2,2024-10-13 02:23:30
Anik Wullandari,oke,4,2024-10-13 02:17:05
Ocky Bae,"perbaikan terus login susah, team baru bagian it sepertinya lagi banyak liburnya",1,2024-10-13 01:53:35
Herieko Cahyono,"Mantap, transaksi cepat.",5,2024-10-13 01:28:18
Suka Susu,"gak jelas,login tiba tiba ada pemberitahuan sudah login di perangkat lain padahal gak pernah login di perangkat lain.tolong lah di perbaiki",1,2024-10-13 01:20:30
Abdul Aziz,Buruk,1,2024-10-13 00:44:41
Suwono Try handoko,Login aja susah mau masukan kode malah kembali terus ke awal sampai gagal terus. Tidak seperti mbanking bank lain nya lebih mudah,1,2024-10-13 00:03:35
Ardian Kaspari (Arka/Kepa),"Apk ny error SIM knp y, tolong dibantu",3,2024-10-12 23:29:59
Mar Sidik,Ok,5,2024-10-12 21:52:33
amir ali,sangat bermanfaat👍,5,2024-10-12 21:24:43
Ristono,"Ujung ujungnya mesti ke BANK langsung... Ngantri berjam jam lagi, MALESSSSSS",1,2024-10-12 19:54:57
Tayzzy,Good,4,2024-10-12 19:44:29
asip Indrianto,Tolong orang IT nya ganti ajh makin ksini ko makin lemot buat TF gagal mlu huuu jdi mls pke BNi,2,2024-10-12 19:15:35
Keisha Putri,Oke bgt,5,2024-10-12 19:14:27
Cecep Zainal Abidin,bagus,5,2024-10-12 18:57:20
Dadang Hermawan,layanan mantap silahkan d pk,5,2024-10-12 18:54:49
Guruh Vankill,good,5,2024-10-12 18:21:41
Ikbal Luzzaman_,Mau login aja susah bgt asuuuu,2,2024-10-12 17:40:25
Wawan Maulana tv,Bedelaw Kawan,4,2024-10-12 17:30:33
EKO SETIAWAN,"Ini kenapa sekarang susah banget mau login..dipencet berulang""g bisa..muncul notif unduh wonder di pencet jg g bisa",1,2024-10-12 17:12:45
Abh Daniy,sangat baik membantu,5,2024-10-12 16:56:47
Malik Abdul,👍👍,5,2024-10-12 16:13:13
prasa mega,mantaaaapppppp 🤙🤙🤙🤙🤙,5,2024-10-12 16:01:37
Nur Jannah,"Gangguan terus, ntah orang lagi urgent atau apa.. bingung sendiri dengan aplikasi BNI mobile banking. Tingkatkan kualitanya dong",1,2024-10-12 15:27:20
pur joko,mantap,5,2024-10-12 14:54:35
Jhoni Kim,bagus,5,2024-10-12 14:00:26
Suprat,cukup baik,3,2024-10-12 13:57:00
ABDUL MUNIR,oke,5,2024-10-12 13:45:46
Ria Adib,mantap,5,2024-10-12 11:08:03
Syarif Hidayatullah (Detector),Gangguan mulu as*,1,2024-10-12 11:00:59
It's Gilang,baru tau ada - di bank🤣,1,2024-10-12 10:25:11
Hadi Widjaja,Bagus aplikasi m bankingnya,5,2024-10-12 10:10:38
Daekan ayu,kita Sulit Klau HP kita Di Reset ulang Email Kita yang Hilang yg Tercantung Di BNI Bengking Susah Di Atur Ulang Harus Kita Melalui Kantor BNI itu Baru Bisah Tolong Jangan Di Bikin Ribet ya Susah Kasihan Klau Orang Kampung Jauh🙏 Mending Pakai wondr By BNI itu gampang kita Pakai,4,2024-10-12 10:00:24
Irmawati Irmawati,the bestttt 💕💕💕💕,5,2024-10-12 09:01:49
Eko Budi,Baik,5,2024-10-12 08:10:06
38 Daffa Eka Prasetya,Tolol sedang diperbaiki Mulu ribet bgt semenjak ada wondr bututt,1,2024-10-12 07:29:31
zahwa ade haryanti,"Makin lama makin lemot, bikin malu aja pas mau qris malah gabisa",4,2024-10-12 07:08:32
abdul syahidin,"Tgl Sabtu 12 Oktober 2024 13:36 , aplikasi BNI mobile tidak bisa di gunakan TF, bertulisan aplikasi eror coba hubungi Call BNI.",5,2024-10-12 06:37:00
Ahmat Muarif,ah,5,2024-10-12 06:03:01
Ria Angga,bagus,5,2024-10-12 05:55:34
Edi Darmansyah,transaksinya lancar dan sangat membantu sekali,5,2024-10-12 05:47:17
Nurjaman Kasep,sangat bagus membantu saat transfer online,5,2024-10-12 05:43:36
Nelda ningsih,mempermudah urusan kita,5,2024-10-12 05:34:12
Khoiria El Warda,Login susah perbaikan terus,1,2024-10-12 05:29:30
Indra Nilaldi,sangat baik,5,2024-10-12 05:00:43
Petrusngilo Ngilo,baik membantu,5,2024-10-12 04:58:40
Dinda Lusiana,"Akhir-akhir ini susah banget mau login padahal koneksi internet nya bagus, tolong lebih di perhatikan dong",1,2024-10-12 04:53:55
LEONITA CAROLINA,mantaaapppppp,5,2024-10-12 03:56:48
Renita JonSam,terimakasih,5,2024-10-12 03:15:47
M.safarudin Rudi,bagus sih selama pakai,5,2024-10-12 02:07:20
I Dewa Ketut Merta,baik,5,2024-10-12 00:04:28
Miftachus Sya'idah,Saya mau tanya min.. kenapa M banking gk bisa di buka dan bisa gk saya tukar nomor M banking tanpa harus datang ke kantor BNI,5,2024-10-11 20:30:22
Maju Manunggal,Ok,5,2024-10-11 16:25:45
ICELL AGEN,Mau Buka Tabungan Digital Gak bsaa Pilih KTP Loading Truss IKD KTP NIT Pilih KTP Malah Bug Loading Truss..Bsa Daftar Via WA,3,2024-10-11 15:29:25
Mulya Nay,sangat puas,5,2024-10-11 14:26:24
Rajo bungsu Capital,keren ini dari yg baru,5,2024-10-11 13:52:34
Nona Icha078,sangat membantu sekali,5,2024-10-11 13:15:39
Sahi Din,"Trima kasih,sy sanget terbantu 👍",5,2024-10-11 12:48:49
Rangga Perfect,Sumpah ga jelas bener ni aplikasi Mau daftar aja ga bisa² udah masukin kode otp ya bener 2x masih ga bisa malah di suruh besok coba lagi karna udah ngelakuin masukin kode OTP ya salah 3x padahal baru 2x itu pun bener hadeh gaguna bener ni aplikasi,1,2024-10-11 12:21:34
336_Ni Ketut Susi Riyanti,keren,4,2024-10-11 12:21:15
Nur Fawnia,sukses,5,2024-10-11 11:59:10
Jaya Hanif,ok,5,2024-10-11 11:38:54
SRI AA,"agak lain aku tengok. masa iya udah berhasil reset pin. tau²nya pas mau login setelah melewati langkah yg rempong. nggak bisa digunakan mbangkongnya, diharuskan pula ke BNI cabang terdekat. jadi gunanya online ni buat apa sih. harus pergi juga ke cabang terdekat, kan nggak guna juga diikuti langkahnya yg paniang semula. kalau pada akhirnya nggak juga bisa dipakai",2,2024-10-11 10:50:01
Agus Salim,baik,5,2024-10-11 10:49:16
Dimas Surya Husein,good game,5,2024-10-11 10:47:03
Andi Kurniawan,"Mohon menambahkan fitur pembayaran contactless ke mesin EDC atau perangkat lain yg mendukung, seperti yg dimiliki aplikasi bank lain. Kalau sudah tersedia saya kasih bintang 5.",4,2024-10-11 10:01:55
Igo Yulianto,JANGAN PAKSA USER BNI MOBILE BANKING PINDAH KE WONDR JIKA APLIKASI ITU BELUM BENAR BENAR SEMPURNA,3,2024-10-11 09:27:00
ari setiawan,baik,5,2024-10-11 09:05:48
Adianto Ajja,Sering gangguan mau transaksi malah muncul kode error,2,2024-10-11 09:00:52
Yunus Wahyu Setiawan,"Sudah sampai tahap kode OTP, kode sudah dapat dan sudah dimasukkan sesuai dengan kode OTP yg di Terima. Sudah klik Lanjut tapi balik lagi di permintaan kode OTP.",1,2024-10-11 08:19:08
Dedi Purnomo,membantu pembelian tidak perlu keluar rumah,4,2024-10-11 07:55:05
jayoulee ahmed,Terima kasi B N I,5,2024-10-11 07:00:30
diana siki,Mantap,5,2024-10-11 06:31:44
Fatma Wati,"Capek banget mau login susahnya minta ampun, emangnya kenapa si app ini? Kok selalu ada masalah terus ya?? Tolong dong dibenerin lgii jangan menyulitkan pengguna.. make mbanking tuhh biar lebih gampang mau Transfer² kalo login aja susah gimana make fitur yg lain????? Capek banget ujung2nya harus ke atm buat transaksi, tolongg pihak yg bertanggungjawab ini gimana solusinyaa",1,2024-10-11 06:24:05
Dadan Abdurahman,baik,5,2024-10-11 06:14:07
Asha Pohan,wni,3,2024-10-11 05:48:34
May Cahya,mudah,5,2024-10-11 04:52:15
Annisa Dewi Fatikasari,"Mohon perbaikan penggunaan scan qris karena sangat lama proses nya, mungkin bisa kaya mbanking bank sebelah. punya teman saya gampang kalo lg ngescan",2,2024-10-11 04:24:49
Yusuf,mantap gan,5,2024-10-11 03:58:59
Satria Wijaya,"Saat mau register kode email ny udh sesuai dgn yg di kirm dari pihak BNI tetapi saat saya mau input tidak bisa , keterangan nya kode anda salah, padahal udh betul loo kn pihak BNI sendiri yg kirm saya hanya memasukan kode yg sama tetapi tetap salah , ini bukan satu kali aja tapi lebih dari 3 kaali, mohon ini gimna",1,2024-10-11 03:56:07
Yuni Ajha,pelayanan sangat bagus,5,2024-10-11 03:41:32
eviani juliana,mantap,5,2024-10-11 03:34:39
Reza Febrian,"Dear BNI, Kenapa tidak bisa membuka aplikasi BNI Mobile Banking di HP ZTE Nubia 2? Permasalahannya yaitu aplikasi BNI Mobile sudah terpasang, namun saat di tekan untuk dibuka aplikasinya tidak merespon apa-apa hanya freeze. Hp saya sebelumnya rusak. Dan ingin di pasang di HP baru saat ini untuk keperluan transaksi. Terima kasih. Sudah dicoba saran dari admin, masih tidak bisa. Jaringan stabil 4G, sim yg terdaftar di slot 1, wifi secure, app sudah ver 5.13.1, Ada lagi?",1,2024-10-11 03:21:34
Muhammad Shafwan,Gim,1,2024-10-11 03:15:54
Syafriwana,keren,5,2024-10-11 03:01:52
Lia Widya Ningsih,best ever,5,2024-10-11 02:59:35
Heni Winarto,Tingkatkan kualitas layanan,5,2024-10-11 02:53:39
Andri Anto,mantap,5,2024-10-11 02:49:53
Azzahra Jayyah,ok,4,2024-10-11 02:26:12
Hamroh Makmun,"App yang sangat membantu tuk aktifitas 24 jam, tetap jaga keamanan pengguna dan komitmen dalam privacy terkait. Semangat",5,2024-10-11 01:43:22
Kus Yadi,top,5,2024-10-11 00:57:20
Story wa pelaut,Sangat jelek,1,2024-10-11 00:33:18
Yeyen Saepulloh,mudah digunakan,5,2024-10-11 00:15:03
Zus Shofa,"males, tiap buka iklan mulu",1,2024-10-10 23:55:45
Agunk_ 24,"aplikasi ini sangat lah buruk, untuk login saja susah. padahal jaringan penuh, tapi selalu ada tulisan sedang perbaikan. ini bukan 1x atau 2x tapi sudah sangat sering terjadi.",1,2024-10-10 23:46:36
Umi Latifah,"sangat Istimiwir mudah membantu segala hal,jadi gak repot2 jalan Sono sini",5,2024-10-10 23:32:49
Tofa Prasetya,nice,5,2024-10-10 22:14:58
Sabam Gonzales,oke,5,2024-10-10 20:45:14
anggylaode Anggy,mantap,3,2024-10-10 16:44:17
Hasna Inaku,nice,5,2024-10-10 16:28:22
MARSYANDA SAFIRA FILDZAH,"ribet bgt, setiap mau tf atau top up ga bisa.. padahal udh masukin pin transaksi benerrrr tapi selalu salahhhh, kudu gimanaaa dah, apk mbanking malah ga guna bgt",1,2024-10-10 16:07:12
Syamsul Bakri,"Syamsul Bakri, beli token listrik",5,2024-10-10 15:31:03
Ilham Budiman,good,5,2024-10-10 15:29:48
DADANG HARIS,simp3l s3kli,5,2024-10-10 15:14:10
NUR JANAH,TERIMA KASIH..semoga sukses & maju slalu..,5,2024-10-10 14:50:23
ali ferliano,Mau kirim. Kirim. Susah bat dah kesalahan terus,1,2024-10-10 14:47:53
Mas Yuni,kalau bisa mbking di luarnegri lebih di percepat,5,2024-10-10 14:47:18
Muhammad Fadhlan Syach,Kenapa tf atau emoney jadi susah ya,1,2024-10-10 14:42:39
Indra Zain,Terima kasih pelayanan nya,4,2024-10-10 14:33:47
yun veristedi,kereen,5,2024-10-10 14:02:25
Ade Elvariani,baik,5,2024-10-10 13:11:57
Jnal Abidin,sangat membantu,5,2024-10-10 13:09:38
su har,Daftar di luar negri payah harus active kan di indonesia ribet jugak,1,2024-10-10 12:30:48
mar'atur rosyiq,"Sulit pindahin akun dri hp lama ke hp baru, udah berhari2 gabisa2.. gak kyk bank sebelah gak sampek 5 menit udah bisa Masalah banget buat yg baru beli hp karna hp lamanya rusak, kurang canggih Mungkin bisa diupgrade kemampuannya Mau pindahin akun harus masukin kode otp dari sms dan email, sedangkan yg di email gak muncul2 notikasi atau pesan baru. Munculnya setelah 5 menit permintaan kode, sedangkan isi kode otpnya dibatasi 2 menit doank Gitu aja terus gak bisa2 wkwkwkwk",3,2024-10-10 11:58:32
Fath Rahmat,Yg bener aja. Udah 3x minta verif email.. gak masuk² otp nya. Alasan gw males pake jasa bank indo selalu gini. Gak kompeten pekerjanya menangani sistem. Gk bisa di andelin.,1,2024-10-10 11:56:47
Robertus Febrima,Masa untuk login susah amat sih Kok dalam peningkatan terus,1,2024-10-10 11:51:56
Aries Mulyadi,Apa hari ini BNI LG perbaikan ko gk bisa di buka selu muncul Alat SIM eror itu knp tolong bantuanya,5,2024-10-10 11:40:48
Aji Markana,sangat membantu kelangsungan hidup,5,2024-10-10 11:30:09
Rizal Solmon Giofani,Sangat tidak memuaskan,5,2024-10-10 11:18:37
Sulistio Adiwinarto,Sangat bermanfaat,5,2024-10-10 11:09:43
nurbiati maksus,baik sekali,5,2024-10-10 10:45:07
supriatna,Suka banget sama aplikasinya.. Detail sampai mutasi dan keterang saldo akhirnya.. Saya harap BNI tidak menonaktifkan aplikasi ini untuk digantikan dengan wondr.. Seperti halnya BCA menambah aplikasi bukan menggantikannya.. Karena berbeda umur berbeda cara pemakaiannya.. Terimakasih..,5,2024-10-10 10:35:08
Maryanah Azizah,gamapng erornya,4,2024-10-10 10:07:12
AMRI,Baguus,5,2024-10-10 09:46:50
Riza Amir,"untuk transaksi saya selama ini aman ga ada kendala, picture yang inovatif mudah di gunakan, sukses selalu BNI👍🏻",5,2024-10-10 09:46:40
Ahmad Arip,👎💩,1,2024-10-10 09:13:48
Yunex Tetimau,aplikasi sangat membantu,3,2024-10-10 09:03:24
Indra Arif,sangat membantu sekali dalam berbagai transaksi yang saya lakukan,5,2024-10-10 07:51:16
Pisces Cute,Bagus,5,2024-10-10 07:05:39
Indra Bommers Bommers,tranfer cepat tanpa ribet,5,2024-10-10 06:59:10
Adinda Zahra,lancar Alhamdulillah,5,2024-10-10 06:41:24
Muhamad Sendly,Mau buka rekening aja udah kaya ngajuin pinjol. Makin ga jelas aja ni bni. Apus data data gua.verifikasi muka ga bisa bisa.kalo sampe di salah gunakan gua perpanjang urusan ini. Sampah.,1,2024-10-10 06:27:51
Desi Ell kia,𝐬𝐚𝐧𝐠𝐚𝐭 𝐦𝐞𝐦𝐛𝐚𝐧𝐭𝐮 𝐝𝐢𝐦𝐚𝐧𝐚 𝐩𝐮𝐧 𝐤𝐚𝐩𝐚𝐧 𝐩𝐮𝐧 𝐦𝐚𝐮 𝐭𝐫𝐚𝐧𝐬𝐟𝐞𝐫 𝐚𝐭𝐚𝐮 𝐜𝐞𝐤 𝐬𝐚𝐥𝐝𝐨,5,2024-10-10 06:02:03
Istian Wijimulyo,transaksi cepat,4,2024-10-10 05:44:49
Candra Wirawan,"Kenapa sudah login sekarang, Padahal sinyal bagus, giliran buka aplikasi bni mobile, gak kuat buat buka, susah login, selalu dalam perbaikan",2,2024-10-10 05:16:28
Nakesha Kalilah,terlalu ribet,1,2024-10-10 05:16:25
Singgih Purnawan,"Sering mengalami peningkatan layanan jadi kalo buat buru"" gak bisa",1,2024-10-10 05:15:29
Toko Shafira,baik,5,2024-10-10 05:06:38
Saiman Sulaiman,bagus,5,2024-10-10 05:05:39
Maraganti Hrp,kebanyakan VASNAp uda di perbarui malah makin jelek,1,2024-10-10 05:03:02
Febriansyah Febriansyah,sanagat baik dan membantu,5,2024-10-10 04:30:30
Arians Life,lumayan lancar,5,2024-10-10 04:08:15
Mas Alexx,Alangkah baiknya dikasih fitur laporan uang masuk & keluar dalam 1-3 bulan seperti ebanking sebelah agar pengguna tahu selisih pengeluaran & pemasukan. Fitur sepele tapi sangat membantu tapi sayang di BNI tidak ada fitur tsb,3,2024-10-10 03:37:52
Sopyan Jkt,Top,4,2024-10-10 03:22:04
Ardi Rifaldi,Cara dapeting kode referal nya gimana ya,4,2024-10-10 03:19:34
Celline Candra,bagus dan praktis,5,2024-10-10 03:06:44
teguh pratama,Apaan seh harus di sambungin sma wondr bikin lemot sja,1,2024-10-10 02:30:55
zizka zizka,baik,5,2024-10-10 02:15:40
weli nugraha,Oke,5,2024-10-10 02:05:48
Jilly Nangin,the bestlah,5,2024-10-10 01:55:38
INDRA LESMANA,"Skrang BNI susah di akses login, setiap mau masuk mohon maaf kami sedang meningkatkan layanan mobile bengking coba beberapa saat lagi. Abis keseringan nya sampe, kesal pasti ya,kan capekkkk. Tolong di bantuuuuuuuu Dong kok kek gini trss pelayanan melemahh, merosot,jelekk potongan. Perbulannn Lancarrrr gak mau kurang,.kalau billbord Bank Negara Indonesia, tpi isinya Bank penyensara masyarakat, sampe kapan negara ini orang jahat di suruh mimpin. Kini lh jadinya ..Dasarrr Lontong..",1,2024-10-10 01:37:32
Kristy Jusung,praktis sukses bni,5,2024-10-10 01:24:01
Abdul Muchsin,mantaapp,5,2024-10-10 01:20:00
winova Wijaya,aplikasi mobile banking yang menyenangkan😊,5,2024-10-10 00:30:03
Johanis Handra,lumayan bagus tapi kadang suka lelet..👍👍🙏🙏,4,2024-10-10 00:26:22
Agung Setiawan,sangat membantu,5,2024-10-10 00:18:12
rahmad zuladhan,ok,5,2024-10-10 00:17:26
maulid 73,"Daftar Favorit Seharusnya Bisa di edit Nama , Nomor HP , No Rekening , dll Dpt email status Transaksi gagal padahal barang sudah di kirim tidak jelas Mobile Bankingnya",3,2024-10-09 23:51:57
Nurul Arifin,membantu lebih mudah ber transaksi,5,2024-10-09 23:39:46
Wena Julion yoshef,mudah di gunakan,5,2024-10-09 23:39:07
jovan Londo,baik,5,2024-10-09 23:33:44
Lola Novita sarii,KENAPA SAYA GABISA LOGIN? SELALU KELUAR TERUS DARI APLIKASI,2,2024-10-09 22:51:29
Fajar Menyingsing,Jos lah selama ini gak ada masalah,5,2024-10-09 20:42:41
Ema marlini,Parah sangat merugikan buang2 waktu apk ngk bisa di pakai sekelas bni kok bisa kek gini mendingan make occto mobile lagi.. auto pindah saldo ngak bermutu,1,2024-10-09 19:28:05
Jus Man,sangat baek,5,2024-10-09 18:01:52
Iksan DG salasa,Tebaik dan trpercaya transaksi cepat aman,5,2024-10-09 16:45:37
Mujiburrahmat07,"Kenapa ya password transaksi saya tidak bisa, padahal udah betul password nya",4,2024-10-09 15:54:13
Rusnanto Rusnanto,Registrasi ga bsa mulu...aplikasi apaan nih ga brguna,1,2024-10-09 15:32:01
Muhammad Hanif Wicaksana,kebanyakan maintenance,1,2024-10-09 15:06:34
eka sanita,"SELALU BERMASALAH.!! DENGAN ALASAN SEDANG MENINGKATKAN LAYANAN.!! UNTUK BANK NEGARA, APLIKASI SANGAT BURUK!",1,2024-10-09 15:05:15
Asrofi Mursalin,"Terlalu sering saat membuka aplikasi muncul notifikasi ""Mohon maaf kami sedang meningkatkan layanan Mobile Banking""",1,2024-10-09 14:42:31
Mr Jbt,"aneh mau isi saldo e-wallet saja wajib 20k ke atas,padahal 10k dan 15k sebelumnya bisa. saldo pun sekarang gak bisa 0 rupiah. kartu ketelan ATM dimintain tolong,jawabnya ""maaf mas harus buat baru"" padahal ATM nya di depan kantor cabang.bisa kali dibuka tu ATM sebentar buat ambil kartunya. tambahan BNI MOBILE TUNAI buruk 10/100 gak ada kode OTP yang dikirimkan sama sekali dari ATM sampe pulang ke rumah gak ada kode OTP yang dikirimkan, udah coba ulang 5 kali tetep gak ada OTP perbaiki dong!",1,2024-10-09 12:01:26
Ade Susianto Raharja,"1. Pembelian pulsa Rp 100.000 telkomsel sebanyak 2 kali menggunakan BNI mobile, dana sudah terpotong tetapi pulsa tidak masuk. 2. Penarikan dana melalui ATM BNI lokasi di kantor BNI Jatibarang Indramyu, uang tidak keluar tetapi dana terpotong, kartu ATM tertelan. Lapor ke pihak Bank, Kartu ATM diganti tetapi bayar Rp 20.000. KENAPA NASABAH HARUS BAYAR???????? PADAHAL KESALAHAN ADA DI PIHAK BNI (MESIN ATMNYA) BUKAN KESALAHAN NASABAH. DANA UANG TDK KELUAR TAPI TERPOTONG, MALAH SURUH BAYAR...",1,2024-10-09 10:08:22
Riya Afrida,"Kenapa ya skrg jadi susah mau melakukan transfer dll, mau login aja selalu gak bisa, ada peningkatan layanan, dan disuruh coba lagi terus2an. pdhal pakai BNI mobile untuk mempermudah eh malah jadi kesulitan krna ujung2nya harus kembali pembayaran tunai krna gak bisa dipakai.",1,2024-10-09 08:27:27
Asep Hidayat,"Kak bisa bantu saya gak, HP dan kartu saya hilang jdi mbangkink saya gbsa d buka tapi kartu ATM dan buku tabungan ada",3,2024-10-09 08:11:57
Seren Nadia,"Tolong dong diperbaiki aplikasi nya. Masa untuk transfer ke dompet digital yang lain aja susah banget, sih. Dipake untuk transksi yang lain juga gak bisa. Eror lah, inilah, itulah. Skrg saya sudah daftar di wondr, uang yang dr rekening mbanking lama, mau saya transfer ke wondr juga gak bisa. Ini maksudnya gimana? Saya cek, apakah perlu di-update atau tidak, ternyata fine-fine aja, gak ada masalah. Tolong dong solusinya. Adanya mbanking harusnya mempermudah nasabah bukan mempersulit.",1,2024-10-09 07:31:21
Top 47,Kenapa tiba² dpt sms kalau mbanking bni saya diblokir Pas ganti mpin jg gagal terus.. tolong responnya,2,2024-10-09 07:16:54
Alfiesta Comel,Saldo di akun BNI masih banyak kenapa tidak bisa melakukan penarikan atau transfer trs muncul tulisan vsap wah parah baget ini kecewa sih karena tidak begitu lancar seperti lainya,1,2024-10-09 06:06:32
Elisabeth Editha,TOP,5,2024-10-09 03:44:12
Nur dwiyanto,Pelayanan di unit jatinom klaten sangat lama...orang orang nya busuk semua...tolong di tindak lanjuti,1,2024-10-09 03:30:20
Irma Purple7,Thank you JD mudah semua urusan nya,5,2024-10-09 02:17:46
ayi ahmad junaedin,Praktis Efektif dan efisien,5,2024-10-09 01:14:07
Nangim X gowok,Apk ini bisa buat kartu atm,5,2024-10-09 00:09:14
Ramona Putra,"Mau log in susah, perbaikan trz, tp tidak menjadi lebih baik",1,2024-10-08 23:37:13
Azymuazy Agil,"Tolong layanan transfer diperbaiki, setiap mau transfer tertulis vasnap atau nomor va apalah itulah. Mau transfer tidak bisa dan selalu gagal, tolong diperbaiki secepatnya",1,2024-10-08 22:57:46
Maulana Adri,Pelayanan nya jelek gua stor tunai duit udh masuk tpi saldo ga nambah di rekening ngerugiin orang aja udh tau buat tf ke orng lg mikir lah di suruh nunggu 14 hari kerja udh tau itu di stor buat tf ke orng ngapa jdi nunggu 14 hari kerja otak nya dmana ini sistem bni?,1,2024-10-08 17:56:41
Samsul S Mustari,Kenapa ya versi ini sulit skali transfer atau bayar pakai VA??,1,2024-10-08 17:32:30
Hezky Komansilan,Tolong dibantu,5,2024-10-08 17:08:13
Dedi Suryadi,Aplikasi sampah daftar nya udh dri pagi ketemu pagi tpi cuma samapai kirim kode otp abis tu kembali lagi k awal klo gx niat bikin aplikasi paling tidak jgn bikin org buang waktu buat daftar,1,2024-10-08 15:31:04
Rani,"Aplikasi selalu error, peningkatan pelayanan terus. Heran padahal urgent",1,2024-10-08 13:54:16
David R Hutasoit,"APLIKASI BNI KO MAKIN KACAU... ADA APA DENGAN IT BNI... SEKELAS BNI, BISA BISA NY APLIKASI BOBROKKK..TOLONG DI PERBAIKI... MASA KALAH SAMA BCA SAMA BANK SWASTA LAIN NYA. . . SEKELAS BANK NEGARA APLIKASI NY BOBROK",1,2024-10-08 13:35:15
Ketut widana,Aplikasi ini sangat membantu,5,2024-10-08 12:41:07
Ketom Rastam,"Bagus ,smeuanya jdi mudah",4,2024-10-08 10:21:01
Haris,kenapa mbanking BNI beberapa minggu terakhir ini selalu terjadi gangguan dengan notif peningkatan system. dan ini terjadi setiap hari dgn waktu yg cukup lama setiap harinya dan berulang kali terjadi baik pagi siang sore maupun mlm. sedangkan sebelumnya sangat lancar tanpa masalah. mohon penjelasannya. trmkasih,3,2024-10-08 09:55:19
